Hospital Name,City,Hospital Type,Hospital Ownership,Emergency Services,Hospital overall rating,Mortality national comparison,Safety of care national comparison,Readmission national comparison,Patient experience national comparison,Effectiveness of care national comparison,Timeliness of care national comparison,Efficient use of medical imaging national comparison
REFUGIO COUNTY MEMORIAL HOSPITAL,REFUGIO,Critical Access Hospitals,Government - Hospital District or Authority,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
STONEWALL MEMORIAL HOSPITAL,ASPERMONT,Critical Access Hospitals,Government - Hospital District or Authority,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
MOTHER FRANCES HOSPITAL JACKSONVILLE,JACKSONVILLE,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Not Available,Same as the national average,Not Available,Same as the national average,Not Available,Not Available,Not Available,Not Available
BAYSIDE COMMUNITY HOSPITAL,ANAHUAC,Critical Access Hospitals,Government - Local,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Above the national average,Not Available
GRIMES ST JOSEPH HEALTH CENTER,NAVASOTA,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Not Available,Not Available,Not Available,Same as the national average,Not Available,Not Available,Not Available,Not Available
ROLLINS BROOK COMMUNITY HOSPITAL,LAMPASAS,Critical Access Hospitals,Voluntary non-profit - Church,Yes,4,Same as the national average,Not Available,Same as the national average,Not Available,Same as the national average,Above the national average,Same as the national average
LILLIAN M HUDSPETH MEMORIAL HOSPITAL,SONORA,Critical Access Hospitals,Government - Hospital District or Authority,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
CONCHO COUNTY HOSPITAL,EDEN,Critical Access Hospitals,Government - Hospital District or Authority,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
CHILLICOTHE HOSPITAL DISTRICT,CHILLICOTHE,Critical Access Hospitals,Government - Hospital District or Authority,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
RICELAND MEDICAL CENTER,WINNIE,Critical Access Hospitals,Proprietary,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
RANKIN HOSPITAL MEDICAL CLINIC,RANKIN,Critical Access Hospitals,Government - Hospital District or Authority,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
MEDINA REGIONAL HOSPITAL,HONDO,Critical Access Hospitals,Government - Hospital District or Authority,Yes,4,Same as the national average,Not Available,Same as the national average,Above the national average,Same as the national average,Same as the national average,Not Available
COON MEMORIAL HOSPITAL,DALHART,Critical Access Hospitals,Government - Hospital District or Authority,Yes,Not Available,Not Available,Not Available,Same as the national average,Not Available,Not Available,Not Available,Not Available
PALACIOS COMMUNITY MEDICAL CENTER,PALACIOS,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
MARTIN COUNTY HOSPITAL DISTRICT,STANTON,Critical Access Hospitals,Government - Hospital District or Authority,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
PARKVIEW HOSPITAL,WHEELER,Critical Access Hospitals,Government - Hospital District or Authority,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
MUENSTER MEMORIAL HOSPITAL,MUENSTER,Critical Access Hospitals,Government - Hospital District or Authority,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
W J MANGOLD MEMORIAL HOSPITAL,LOCKNEY,Critical Access Hospitals,Government - Hospital District or Authority,Yes,Not Available,Same as the national average,Not Available,Same as the national average,Not Available,Not Available,Not Available,Not Available
CULBERSON HOSPITAL,VAN HORN,Critical Access Hospitals,Proprietary,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Same as the national average,Not Available
THROCKMORTON COUNTY MEMORIAL HOSPITAL,THROCKMORTON,Critical Access Hospitals,Voluntary non-profit - Other,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
SHAMROCK GENERAL HOSPITAL,SHAMROCK,Critical Access Hospitals,Government - Hospital District or Authority,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
HASKELL MEMORIAL HOSPITAL,HASKELL,Critical Access Hospitals,Government - Hospital District or Authority,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
MITCHELL COUNTY HOSPITAL DISTRICT,COLORADO CITY,Critical Access Hospitals,Government - Hospital District or Authority,Yes,3,Same as the national average,Not Available,Same as the national average,Not Available,Not Available,Above the national average,Not Available
ELECTRA MEMORIAL HOSPITAL,ELECTRA,Critical Access Hospitals,Government - Hospital District or Authority,Yes,3,Not Available,Not Available,Same as the national average,Not Available,Same as the national average,Same as the national average,Not Available
HANSFORD COUNTY HOSPITAL,SPEARMAN,Critical Access Hospitals,Government - Hospital District or Authority,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Same as the national average,Same as the national average,Not Available
CROSBYTON CLINIC HOSPITAL,CROSBYTON,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
YOAKUM COMMUNITY HOSPITAL,YOAKUM,Critical Access Hospitals,Voluntary non-profit - Private,Yes,4,Same as the national average,Not Available,Same as the national average,Above the national average,Not Available,Not Available,Not Available
COLEMAN COUNTY MEDICAL CENTER COMPANY,COLEMAN,Critical Access Hospitals,Government - Hospital District or Authority,Yes,Not Available,Same as the national average,Not Available,Below the national average,Not Available,Not Available,Not Available,Not Available
HEART OF TEXAS MEMORIAL HOSPITAL,BRADY,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
SWISHER MEMORIAL HOSPITAL,TULIA,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Not Available,Same as the national average,Not Available,Same as the national average,Not Available,Not Available,Not Available,Not Available
PLAINS MEMORIAL HOSPITAL,DIMMITT,Critical Access Hospitals,Government - Hospital District or Authority,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Same as the national average,Above the national average,Not Available
LYNN COUNTY HOSPITAL DISTRICT,TAHOKA,Critical Access Hospitals,Government - Hospital District or Authority,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
HARDEMAN COUNTY MEMORIAL HOSPITAL,QUANAH,Critical Access Hospitals,Government - Hospital District or Authority,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
CRANE COUNTY HOSPITAL DISTRICT,CRANE,Critical Access Hospitals,Government - Hospital District or Authority,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Same as the national average,Same as the national average,Not Available
HAMILTON HOSPITAL,OLNEY,Critical Access Hospitals,Government - Hospital District or Authority,Yes,Not Available,Not Available,Not Available,Same as the national average,Not Available,Not Available,Same as the national average,Not Available
COLLINGSWORTH GENERAL HOSPITAL,WELLINGTON,Critical Access Hospitals,Proprietary,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Above the national average,Not Available
MEMORIAL MEDICAL CENTER,PORT LAVACA,Critical Access Hospitals,Government - Local,Yes,4,Same as the national average,Not Available,Same as the national average,Above the national average,Same as the national average,Same as the national average,Not Available
LITTLE RIVER HEALTHCARE,ROCKDALE,Critical Access Hospitals,Proprietary,Yes,Not Available,Not Available,Not Available,Same as the national average,Not Available,Not Available,Not Available,Not Available
MEMORIAL HOSPITAL,SEMINOLE,Critical Access Hospitals,Government - Hospital District or Authority,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
OCHILTREE GENERAL HOSPITAL,PERRYTON,Critical Access Hospitals,Government - Hospital District or Authority,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
CHI ST LUKES HEALTH MEMORIAL SAN AUGUSTINE,SAN AUGUSTINE,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
SABINE COUNTY HOSPITAL,HEMPHILL,Critical Access Hospitals,Proprietary,Yes,Not Available,Not Available,Not Available,Same as the national average,Not Available,Not Available,Not Available,Not Available
CLAY COUNTY MEMORIAL HOSPITAL,HENRIETTA,Critical Access Hospitals,Government - Local,Yes,Not Available,Not Available,Not Available,Same as the national average,Not Available,Not Available,Not Available,Not Available
JACKSON HEALTHCARE CENTER,EDNA,Critical Access Hospitals,Government - Hospital District or Authority,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Same as the national average,Above the national average,Not Available
OTTO KAISER MEMORIAL HOSPITAL,KENEDY,Critical Access Hospitals,Government - Hospital District or Authority,Yes,3,Not Available,Not Available,Same as the national average,Not Available,Same as the national average,Above the national average,Not Available
SETON HIGHLAND LAKES,BURNET,Critical Access Hospitals,Voluntary non-profit - Private,Yes,3,Same as the national average,Not Available,Same as the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average
COCHRAN MEMORIAL HOSPITAL,MORTON,Critical Access Hospitals,Government - Hospital District or Authority,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
EAST TEXAS MEDICAL CENTER PITTSBURG,PITTSBURG,Critical Access Hospitals,Voluntary non-profit - Other,Yes,4,Same as the national average,Not Available,Same as the national average,Above the national average,Not Available,Not Available,Not Available
GOLDEN PLAINS COMMUNITY HOSPITAL,BORGER,Critical Access Hospitals,Proprietary,Yes,3,Same as the national average,Not Available,Same as the national average,Same as the national average,Not Available,Not Available,Not Available
TMC- BONHAM HOSPITAL,BONHAM,Critical Access Hospitals,Government - Hospital District or Authority,Yes,Not Available,Same as the national average,Not Available,Same as the national average,Not Available,Not Available,Not Available,Not Available
SETON EDGAR B DAVIS HOSPITAL,LULING,Critical Access Hospitals,Government - Federal,Yes,3,Same as the national average,Not Available,Same as the national average,Not Available,Same as the national average,Above the national average,Not Available
MULESHOE AREA MEDICAL CENTER,MULESHOE,Critical Access Hospitals,Proprietary,Yes,Not Available,Not Available,Not Available,Same as the national average,Not Available,Not Available,Not Available,Not Available
WARD MEMORIAL HOSPITAL,MONAHANS,Critical Access Hospitals,Government - Local,Yes,Not Available,Same as the national average,Not Available,Same as the national average,Not Available,Not Available,Not Available,Not Available
BAYLOR SCOTT & WHITE MEDICAL CENTER -TAYLOR,TAYLOR,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Not Available,Same as the national average,Not Available,Same as the national average,Not Available,Not Available,Not Available,Not Available
LIBERTY DAYTON REGIONAL MEDICAL CENTER,LIBERTY,Critical Access Hospitals,Proprietary,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Same as the national average,Not Available
LAVACA MEDICAL CENTER,HALLETTSVILLE,Critical Access Hospitals,Government - Hospital District or Authority,Yes,Not Available,Same as the national average,Not Available,Same as the national average,Not Available,Not Available,Not Available,Not Available
REEVES COUNTY HOSPITAL DISTRICT,PECOS,Critical Access Hospitals,Government - Local,Yes,2,Same as the national average,Not Available,Same as the national average,Not Available,Below the national average,Not Available,Not Available
BIG BEND REGIONAL MEDICAL CENTER,ALPINE,Critical Access Hospitals,Proprietary,Yes,3,Same as the national average,Not Available,Same as the national average,Above the national average,Same as the national average,Same as the national average,Not Available
CORYELL MEMORIAL HEALTHCARE SYSTEM,GATESVILLE,Critical Access Hospitals,Government - Hospital District or Authority,Yes,Not Available,Not Available,Not Available,Not Available,Above the national average,Same as the national average,Same as the national average,Same as the national average
EAST TEXAS MEDICAL CENTER QUITMAN,QUITMAN,Critical Access Hospitals,Voluntary non-profit - Private,Yes,3,Same as the national average,Not Available,Same as the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average
MOTHER FRANCES HOSPITAL- WINNSBORO,WINNSBORO,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
COMANCHE COUNTY MEDICAL CENTER,COMANCHE,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
COGDELL MEMORIAL HOSPITAL,SNYDER,Critical Access Hospitals,Government - Hospital District or Authority,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
GOODALL WITCHER HOSPITAL,CLIFTON,Critical Access Hospitals,Government - Hospital District or Authority,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
MEMORIAL HOSPITAL,DUMAS,Critical Access Hospitals,Government - Hospital District or Authority,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
UVALDE MEMORIAL HOSPITAL,UVALDE,Critical Access Hospitals,Government - Hospital District or Authority,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
COOK CHILDRENS MEDICAL CENTER,FORT WORTH,Childrens,Voluntary non-profit - Private,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
DRISCOLL CHILDRENS HOSPITAL,CORPUS CHRISTI,Childrens,Voluntary non-profit - Private,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
CHILDRENS MEDICAL CTR OF DALLAS,DALLAS,Childrens,Voluntary non-profit - Private,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
TEXAS CHILDRENS HOSP,HOUSTON,Childrens,Voluntary non-profit - Private,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
COVENANT CHILDRENS HOSPITAL,LUBBOCK,Childrens,Voluntary non-profit - Private,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
OUR CHILDRENS HOUSE,ALLEN,Childrens,Voluntary non-profit - Church,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
HEALTHBRIDGE CHILDRENS'S HOSPITAL OF HOUSTON,HOUSTON,Childrens,Proprietary,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
DELL CHILDREN'S MEDICAL CENTER OF CENTRAL TEXAS,AUSTIN,Childrens,Voluntary non-profit - Private,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
SHRINERS HOSPITALS FOR CHILDREN,GALVESTON,Childrens,Voluntary non-profit - Private,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
SHRINERS HOSPITALS FOR CHILDREN,HOUSTON,Childrens,Voluntary non-profit - Other,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
EL PASO CHILDREN'S HOSPITAL,EL PASO,Childrens,Voluntary non-profit - Private,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
TEXAS SCOTTISH RITE HOSPITAL FOR CHILDREN,DALLAS,Childrens,Voluntary non-profit - Private,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
CHILDREN'S HOSPITAL OF SAN ANTONIO,SAN ANTONIO,Childrens,Voluntary non-profit - Private,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
CHILDRENS MEDICAL CENTER PLANO,PLANO,Childrens,Voluntary non-profit - Private,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
UTAH VALLEY HOSPITAL,PROVO,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,Below the national average,Below the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average
SALT LAKE REGIONAL MEDICAL CENTER,SALT LAKE CITY,Acute Care Hospitals,Proprietary,Yes,3,Same as the national average,Below the national average,Above the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average
MCKAY DEE HOSPITAL,OGDEN,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,Same as the national average,Below the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Above the national average
OGDEN REGIONAL MEDICAL CENTER,OGDEN,Acute Care Hospitals,Proprietary,Yes,3,Same as the national average,Above the national average,Same as the national average,Below the national average,Same as the national average,Above the national average,Same as the national average
LDS HOSPITAL,SALT LAKE CITY,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Same as the national average,Same as the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average
CEDAR CITY HOSPITAL,CEDAR CITY,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Same as the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average,Above the national average,Same as the national average
UNIVERSITY HEALTH CARE/UNIV HOSPITALS AND CLINICS,SALT LAKE CITY,Acute Care Hospitals,Government - State,Yes,4,Same as the national average,Above the national average,Above the national average,Above the national average,Same as the national average,Below the national average,Above the national average
INTERMOUNTAIN MEDICAL CENTER,MURRAY,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,Same as the national average,Below the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Above the national average
CASTLEVIEW HOSPITAL,PRICE,Acute Care Hospitals,Proprietary,Yes,4,Same as the national average,Not Available,Above the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average
MOUNTAIN VIEW HOSPITAL,PAYSON,Acute Care Hospitals,Proprietary,Yes,3,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average
MOUNTAIN WEST MEDICAL CENTER,TOOELE,Acute Care Hospitals,Proprietary,Yes,3,Same as the national average,Same as the national average,Same as the national average,Below the national average,Same as the national average,Same as the national average,Not Available
LOGAN REGIONAL HOSPITAL,LOGAN,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Same as the national average,Same as the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average
BRIGHAM CITY COMMUNITY HOSPITAL,BRIGHAM CITY,Acute Care Hospitals,Proprietary,Yes,3,Not Available,Not Available,Same as the national average,Same as the national average,Same as the national average,Above the national average,Below the national average
UINTAH BASIN MEDICAL CENTER,ROOSEVELT,Acute Care Hospitals,Voluntary non-profit - Other,Yes,3,Same as the national average,Same as the national average,Same as the national average,Below the national average,Below the national average,Above the national average,Not Available
DIXIE REGIONAL MEDICAL CENTER,ST GEORGE,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Below the national average,Above the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average
AMERICAN FORK HOSPITAL,AMERICAN FORK,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Not Available,Below the national average,Above the national average,Above the national average,Same as the national average,Above the national average,Same as the national average
SEVIER VALLEY MEDICAL CENTER,RICHFIELD,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Not Available,Not Available,Same as the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average
ASHLEY REGIONAL MEDICAL CENTER,VERNAL,Acute Care Hospitals,Proprietary,Yes,3,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Above the national average,Not Available
GARFIELD MEMORIAL HOSPITAL,PANGUITCH,Acute Care Hospitals,Government - Local,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Same as the national average,Above the national average,Not Available
BEAR RIVER VALLEY HOSPITAL,TREMONTON,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Same as the national average,Same as the national average,Not Available
DAVIS HOSPITAL AND MEDICAL CENTER,LAYTON,Acute Care Hospitals,Proprietary,Yes,2,Same as the national average,Below the national average,Above the national average,Below the national average,Same as the national average,Above the national average,Same as the national average
LAKEVIEW HOSPITAL,BOUNTIFUL,Acute Care Hospitals,Proprietary,Yes,4,Same as the national average,Above the national average,Above the national average,Above the national average,Same as the national average,Above the national average,Same as the national average
OREM COMMUNITY HOSPITAL,OREM,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Not Available,Not Available,Not Available,Not Available,Above the national average,Same as the national average,Same as the national average,Not Available
ALTA VIEW HOSPITAL,SANDY,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Same as the national average,Same as the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average
ST MARK'S HOSPITAL,SALT LAKE CITY,Acute Care Hospitals,Voluntary non-profit - Other,Yes,3,Same as the national average,Same as the national average,Same as the national average,Below the national average,Same as the national average,Above the national average,Same as the national average
THE ORTHOPEDIC SPECIALTY HOSPITAL,MURRAY,Acute Care Hospitals,Voluntary non-profit - Private,No,Not Available,Not Available,Not Available,Not Available,Above the national average,Not Available,Not Available,Same as the national average
JORDAN VALLEY MEDICAL CENTER,WEST JORDAN,Acute Care Hospitals,Voluntary non-profit - Other,Yes,3,Same as the national average,Same as the national average,Above the national average,Below the national average,Below the national average,Above the national average,Same as the national average
TIMPANOGOS REGIONAL HOSPITAL,OREM,Acute Care Hospitals,Proprietary,Yes,4,Same as the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average,Above the national average,Not Available
CACHE VALLEY  HOSPITAL,NORTH LOGAN,Acute Care Hospitals,Proprietary,Yes,Not Available,Not Available,Not Available,Not Available,Above the national average,Same as the national average,Same as the national average,Not Available
PARK CITY HOSPITAL,PARK CITY,Acute Care Hospitals,Proprietary,Yes,4,Not Available,Same as the national average,Same as the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average
RIVERTON HOSPITAL,RIVERTON,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Not Available,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average
LONE PEAK HOSPITAL,DRAPER,Acute Care Hospitals,Proprietary,Yes,3,Not Available,Not Available,Same as the national average,Above the national average,Same as the national average,Above the national average,Same as the national average
DELTA COMMUNITY HOSPITAL,DELTA,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Same as the national average,Same as the national average,Not Available
FILLMORE COMMUNITY HOSPITAL,FILLMORE,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Same as the national average,Same as the national average,Not Available
MOAB REGIONAL HOSPITAL,MOAB,Critical Access Hospitals,Voluntary non-profit - Private,Yes,3,Not Available,Not Available,Same as the national average,Not Available,Same as the national average,Same as the national average,Not Available
SANPETE VALLEY HOSPITAL - CAH,MOUNT PLEASANT,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Not Available,Not Available,Not Available,Not Available,Above the national average,Same as the national average,Same as the national average,Not Available
CENTRAL VALLEY MEDICAL CENTER - CAH,NEPHI,Critical Access Hospitals,Voluntary non-profit - Private,Yes,4,Not Available,Not Available,Same as the national average,Above the national average,Same as the national average,Same as the national average,Not Available
MILFORD VALLEY MEMORIAL HOSPITAL,MILFORD,Critical Access Hospitals,Government - Hospital District or Authority,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
GUNNISON VALLEY HOSPITAL,GUNNISON,Critical Access Hospitals,Voluntary non-profit - Other,Yes,Not Available,Not Available,Not Available,Same as the national average,Above the national average,Not Available,Not Available,Not Available
HEBER VALLEY HOSPITAL,HEBER CITY,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Not Available,Not Available,Not Available,Not Available,Above the national average,Same as the national average,Above the national average,Not Available
SAN JUAN HOSPITAL,MONTICELLO,Critical Access Hospitals,Government - Local,Yes,Not Available,Not Available,Not Available,Same as the national average,Not Available,Not Available,Not Available,Not Available
KANE COUNTY HOSPITAL,KANAB,Critical Access Hospitals,Government - Local,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
BLUE MOUNTAIN HOSPITAL,BLANDING,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
BEAVER VALLEY HOSPITAL,BEAVER,Critical Access Hospitals,Government - State,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
PRIMARY CHILDRENS HOSPITAL,SALT LAKE CITY,Childrens,Voluntary non-profit - Private,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
SHRINERS HOSPITALS FOR CHILDREN - S L C,SALT LAKE CITY,Childrens,Voluntary non-profit - Private,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
CENTRAL VERMONT MEDICAL CENTER,BARRE,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Same as the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Below the national average,Same as the national average
UNIVERSITY OF VERMONT MEDICAL CENTER,BURLINGTON,Acute Care Hospitals,Voluntary non-profit - Other,Yes,3,Below the national average,Same as the national average,Above the national average,Above the national average,Same as the national average,Below the national average,Above the national average
RUTLAND REGIONAL MEDICAL CENTER,RUTLAND,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Same as the national average,Same as the national average,Above the national average,Above the national average,Same as the national average,Below the national average,Same as the national average
BRATTLEBORO MEMORIAL HOSPITAL,BRATTLEBORO,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Same as the national average,Same as the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average
SOUTHWESTERN VERMONT MEDICAL CENTER,BENNINGTON,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Above the national average,Above the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average
NORTHWESTERN MEDICAL CENTER INC,SAINT ALBANS,Acute Care Hospitals,Voluntary non-profit - Other,Yes,2,Same as the national average,Same as the national average,Below the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average
GRACE COTTAGE HOSPITAL,TOWNSHEND,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
GIFFORD MEDICAL CENTER,RANDOLPH,Critical Access Hospitals,Voluntary non-profit - Private,Yes,3,Same as the national average,Not Available,Below the national average,Below the national average,Not Available,Not Available,Not Available
MT ASCUTNEY HOSPITAL,WINDSOR,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Not Available,Same as the national average,Not Available,Same as the national average,Not Available,Not Available,Not Available,Not Available
NORTHEASTERN VERMONT REGIONAL HOSPITAL,SAINT JOHNSBURY,Critical Access Hospitals,Voluntary non-profit - Private,Yes,3,Same as the national average,Not Available,Above the national average,Same as the national average,Not Available,Not Available,Not Available
NORTH COUNTRY HOSPITAL AND HEALTH CENTER,NEWPORT,Critical Access Hospitals,Voluntary non-profit - Private,Yes,3,Same as the national average,Not Available,Same as the national average,Above the national average,Not Available,Not Available,Not Available
COPLEY HOSPITAL,MORRISVILLE,Critical Access Hospitals,Voluntary non-profit - Private,Yes,3,Same as the national average,Not Available,Below the national average,Above the national average,Not Available,Not Available,Not Available
SPRINGFIELD HOSPITAL,SPRINGFIELD,Critical Access Hospitals,Voluntary non-profit - Private,Yes,2,Same as the national average,Not Available,Below the national average,Below the national average,Not Available,Not Available,Not Available
"PORTER HOSPITAL, INC",MIDDLEBURY,Critical Access Hospitals,Voluntary non-profit - Private,Yes,4,Same as the national average,Not Available,Same as the national average,Above the national average,Not Available,Not Available,Not Available
NORTON COMMUNITY HOSPITAL,NORTON,Acute Care Hospitals,Voluntary non-profit - Other,Yes,4,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average
RUSSELL COUNTY MEDICAL CENTER,LEBANON,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,Same as the national average,Not Available,Below the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average
